CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-01-24,Sangre,Crestone 1.2 SSE CO,<TL,2430,?,?,?,?,?,?,?,?,?,?,?,0.0,?,3.8,?,CoCoRaHS
2018-01-24,Sangre,Sand Dunes,<TL,2537,-1,2,-13,-15,33,3,319,8,?,0.00,0.00,?,?,?,?,RAWS
2018-01-24,Sangre,CW7195 Westcliffe,<TL,2640,2,2,-11,-16,25,3,83,10,?,0.00,?,?,?,?,?,APRSWXNET
2018-01-24,Sangre,La Veta Pass (160W2,<TL,2882,-4,-3,-11,-14,46,21,145,32,?,?,?,?,?,?,?,CODOT
2018-01-24,Sangre,Medano Pass,<TL,2932,4,4,-10,?,?,?,?,?,?,?,0.51,?,?,7.6,2.29,SNOTEL
2018-01-24,Sangre,Hayden Pass,TL,3267,-4,-4,-10,?,?,?,?,?,?,?,0.00,?,?,25.4,5.33,MesoWest
2018-01-24,Sangre,South Colony,TL,3292,2,2,-7,?,?,?,?,?,?,?,0.00,?,?,27.9,6.60,SNOTEL
2018-01-24,Sawatch,Nathrop 3.3 WSW CO,<TL,2427,?,?,?,?,?,?,?,?,?,?,?,0.0,?,7.6,?,CoCoRaHS
2018-01-24,Sawatch,Salida 9.1 NW CO,<TL,2537,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Sawatch,CW3993 Poncha Sprin,<TL,2563,3,3,-11,-17,21,23,236,32,?,0.13,?,?,?,?,?,APRSWXNET
2018-01-24,Sawatch,Sargents,<TL,2582,-7,-3,-27,?,?,?,?,?,?,?,0.00,?,?,?,?,MesoWest
2018-01-24,Sawatch,Sargents 0.3 NE CO,<TL,2627,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Sawatch,Buena Vista 8.9 NNW,<TL,2631,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Sawatch,Maysville 2.2 NE CO,<TL,2657,?,?,?,?,?,?,?,?,?,?,?,0.0,?,12.7,?,CoCoRaHS
2018-01-24,Sawatch,Red Deer,<TL,2660,4,4,-11,-16,23,6,167,13,?,0.00,0.00,?,?,?,?,RAWS
2018-01-24,Sawatch,Arkansas River at G,<TL,2717,?,?,?,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-24,Sawatch,Needle Creek,<TL,2741,-7,-3,-16,-15,56,5,276,6,?,0.00,0.00,?,?,?,?,RAWS
2018-01-24,Sawatch,Jones Hill,<TL,2912,2,2,-10,-14,28,10,118,23,?,0.00,0.00,?,?,?,?,RAWS
2018-01-24,Sawatch,Lodge Pole Flats,<TL,2939,5,5,-16,-16,21,3,38,11,?,0.18,0.13,?,?,?,?,RAWS
2018-01-24,Sawatch,Cottonwood Pass,<TL,2995,3,3,-3,-16,23,0,0,?,?,?,?,?,?,?,?,METAR
2018-01-24,Sawatch,Leadville,TL,3026,0,0,-15,-16,30,11,?,28,?,?,?,?,?,?,?,METAR
2018-01-24,Sawatch,Leadville 1.4 WNW C,TL,3027,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Sawatch,Leadville 6.3 S CO,TL,3030,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Sawatch,CMC Leadville,TL,3056,1,1,-18,-18,23,4,263,9,0.00,0.00,?,?,?,?,?,ColoMtnCol
2018-01-24,Sawatch,Fairplay 2.7 WNW CO,TL,3100,?,?,?,?,?,?,?,?,?,0.00,?,0.0,0.00,30.5,?,CoCoRaHS
2018-01-24,Sawatch,Fairplay 2.7 SW CO,TL,3145,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Sawatch,Rough and Tumble,TL,3158,2,2,-13,?,?,?,?,?,?,?,0.00,?,?,25.4,5.33,SNOTEL
2018-01-24,Sawatch,Twin Lake Tunnel nr,TL,3192,?,?,?,?,?,?,?,?,?,?,0.10,?,?,?,?,HADS
2018-01-24,Sawatch,Saint Elmo,TL,3213,-1,-1,-14,?,?,?,?,?,?,?,0.00,?,?,50.8,10.67,MesoWest
2018-01-24,Sawatch,Brumley,TL,3231,1,1,-16,?,?,?,?,?,?,?,0.00,?,?,63.5,12.45,SNOTEL
2018-01-24,Sawatch,Michigan Creek,TL,3231,0,0,-9,?,?,?,?,?,?,?,0.00,?,?,43.2,9.14,SNOTEL
2018-01-24,Sawatch,Porphyry Creek,TL,3280,-4,-4,-17,?,?,?,?,?,?,?,0.25,?,?,66.0,15.75,SNOTEL
2018-01-24,Sawatch,WA5BGT Fairplay,TL,3365,-2,-2,-12,-15,36,10,228,?,?,?,?,?,?,?,?,APRSWXNET
2018-01-24,Sawatch,Buckskin Joe,TL,3399,-1,-1,-10,?,?,?,?,?,?,?,0.00,?,?,55.9,13.46,SNOTEL
2018-01-24,Sawatch,Monarch Pass (050E2,TL,3438,-7,-7,-15,-17,43,5,130,19,0.00,0.00,?,?,?,?,?,CODOT
2018-01-24,Sawatch,Sargents Mesa,>TL,3514,-2,-2,-12,?,?,?,?,?,?,?,0.25,?,?,43.2,8.89,MesoWest
2018-01-24,Sawatch,CMC Mt Zion,>TL,3594,-5,-5,-15,-17,38,14,279,14,?,?,?,?,?,?,?,ColoMtnCol
2018-01-24,Sawatch,Cottonwood Pass,>TL,3597,-8,-8,-14,-21,36,13,259,29,?,?,?,?,?,72.4,?,CAIC
2018-01-24,Sawatch,Monarch Mountain,>TL,3643,-11,-11,-16,-20,50,43,251,58,?,?,?,?,?,?,?,MonarchSA
2018-01-24,Sawatch,Monarch Pass,>TL,3667,-9,-9,-14,-17,52,67,260,72,?,?,?,?,?,?,?,METAR
2018-01-24,Grand Mesa,Jay,<TL,1890,5,5,-7,-10,34,5,112,18,?,0.00,0.00,?,?,?,?,RAWS
2018-01-24,Grand Mesa,DW1827 Mesa,<TL,2454,-1,-1,-15,-8,58,2,360,?,?,?,?,?,?,?,?,APRSWXNET
2018-01-24,Grand Mesa,Douglas Pass (139S0,<TL,2508,-4,-4,-8,-9,66,35,185,40,?,?,?,?,?,?,?,CODOT
2018-01-24,Grand Mesa,Overland Res,TL,3011,-2,-2,-15,?,?,?,?,?,?,?,1.02,?,?,25.4,5.33,SNOTEL
2018-01-24,Grand Mesa,Park Reservoir,TL,3036,-4,-2,-17,?,?,?,?,?,?,?,0.00,?,?,58.4,10.92,SNOTEL
2018-01-24,Grand Mesa,Mesa Lakes,TL,3048,-1,-1,-12,?,?,?,?,?,?,?,0.25,?,?,25.4,7.11,SNOTEL
2018-01-24,Grand Mesa,Cedaredge 10.5 NNW,TL,3170,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Grand Mesa,Grand Mesa-Skyway P,TL,3239,-5,-4,-14,-16,44,10,185,20,?,?,?,?,?,54.1,?,JPL
2018-01-24,South San Juan,Durango (550N022),<TL,1982,3,3,-12,-12,32,2,195,3,0.00,0.00,?,?,?,?,?,CODOT
2018-01-24,South San Juan,Durango .35 E CO,<TL,1997,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,South San Juan,Hesperus 13.3 SSW C,<TL,2038,?,?,?,?,?,?,?,?,?,?,?,0.0,?,2.5,?,CoCoRaHS
2018-01-24,South San Juan,Dur-La Plata Arp,<TL,2038,-2,-2,-16,-9,58,0,0,?,?,?,?,?,?,?,?,METAR
2018-01-24,South San Juan,Durango 7.1 N CO,<TL,2052,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,South San Juan,CW6135 Bayfield,<TL,2127,-1,1,-14,-5,73,3,248,5,?,0.10,?,?,?,?,?,APRSWXNET
2018-01-24,South San Juan,Bayfield 0.3 N CO,<TL,2130,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,South San Juan,Bayfield 0.6 WSW CO,<TL,2131,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,?,?,CoCoRaHS
2018-01-24,South San Juan,Durango 4.9 ESE CO,<TL,2145,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,South San Juan,Pagosa Springs (160,<TL,2212,0,5,-18,-8,52,0,70,3,?,?,?,?,?,?,?,CODOT
2018-01-24,South San Juan,Mesa Mtn,<TL,2249,2,2,-7,-7,49,8,118,16,?,0.10,0.10,?,?,?,?,RAWS
2018-01-24,South San Juan,K9NRG Pagosa Spring,<TL,2256,-2,0,-12,-9,57,3,72,5,?,0.00,?,?,?,?,?,APRSWXNET
2018-01-24,South San Juan,Devil Mtn,<TL,2274,2,3,-8,-8,47,6,200,10,?,0.00,0.00,?,?,?,?,RAWS
2018-01-24,South San Juan,N6PTL Durango,<TL,2289,1,3,-8,-11,40,0,130,10,?,0.05,?,?,?,?,?,APRSWXNET
2018-01-24,South San Juan,Pagosa Springs,<TL,2334,-1,0,-13,-9,55,0,0,?,?,?,?,?,?,?,?,METAR
2018-01-24,South San Juan,Vallecito Res Bayfi,<TL,2339,0,1,-12,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-24,South San Juan,Bayfield 7.0 N CO,<TL,2364,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,5.8,?,CoCoRaHS
2018-01-24,South San Juan,Navajo Rvr at Bande,<TL,2420,-1,0,-18,?,?,?,?,?,?,?,0.03,?,?,?,?,HADS
2018-01-24,South San Juan,Log Chute,<TL,2516,2,2,-7,-14,28,5,184,10,?,0.03,?,?,?,?,?,RAWS
2018-01-24,South San Juan,Sandoval Mesa,<TL,2588,6,6,-7,-8,38,5,137,10,?,0.05,0.05,?,?,?,?,RAWS
2018-01-24,South San Juan,Cascade,<TL,2707,3,6,-10,?,?,?,?,?,?,?,0.00,?,?,20.3,6.10,SNOTEL
2018-01-24,South San Juan,Cascade #2,<TL,2719,3,6,-10,?,?,?,?,?,?,?,?,?,?,10.2,5.59,SNOTEL
2018-01-24,South San Juan,Scotch Creek,<TL,2774,-1,3,-15,?,?,?,?,?,?,?,0.00,?,?,27.9,5.08,SNOTEL
2018-01-24,South San Juan,Pagosa Springs 9.1,<TL,2823,?,?,?,?,?,?,?,?,?,?,?,0.0,?,15.2,?,CoCoRaHS
2018-01-24,South San Juan,Conejos Rvr Blo Pla,TL,3011,-9,0,-21,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-01-24,South San Juan,Mancos,TL,3048,4,4,-7,?,?,?,?,?,?,?,0.25,?,?,35.6,8.89,SNOTEL
